Name,Type,Compiled
MAINTAIN_DISPATCH_INFO,TABLE,2022/7/27 13:49
MAIN_ROAD,TABLE,2022/7/27 13:49
MAJORCAR_INFO,TABLE,2022/7/27 13:44
MANCONSTRA,TABLE,2022/7/27 13:48
MENU,TABLE,2022/7/27 13:44
METEOROLOGY,TABLE,2022/7/27 13:44
MONITORPOINT_MARK,TABLE,2022/7/27 13:44
MONITOR_POINT,TABLE,2022/7/27 13:49
MONITOR_POINT_GEOMETRY,TABLE,2022/7/27 13:44
MONITOR_POINT_INOUT_GS,TABLE,2022/7/27 13:44
MONITOR_POINT_TRAVTIMESET,TABLE,2022/7/27 13:44
MONITOR_SECTION,TABLE,2022/7/27 13:44
MONITOR_SECTION_POINT,TABLE,2022/7/27 13:44
MONITOR_SECTION_POSITIONS,TABLE,2022/7/27 13:44
NLV_VIOACTION_LOCAL,TABLE,2022/7/27 13:44
ONEKEYREADY,TABLE,2022/7/27 13:46
ONEKEYREADY_PREDAY,TABLE,2022/7/27 13:44
OPERATE_COMPONENT,TABLE,2022/7/27 13:44
OPERATOR,TABLE,2022/7/27 13:46
OPERATOR_LOG,TABLE,2022/7/27 13:44
OPERATOR_ROLE,TABLE,2022/7/27 13:44
OTHERPLACE_VEH,TABLE,2022/7/27 13:44
PARKBERTH_MAN,TABLE,2022/7/27 13:44
PARKINGSPACE,TABLE,2022/7/27 13:44
PASSINOUT,TABLE,2022/7/27 13:44
PASS_MGR_INFO,TABLE,2022/7/27 13:44
PEH_POLICEEXPRESSWAY_VMS_PLAN,TABLE,2022/7/27 13:47
PEH_POLICEFOG_MODELS,TABLE,2022/7/27 13:47
PEH_POLICE_EMERGENCY,TABLE,2022/7/27 13:49
PEH_POLICE_FOG_PLAN,TABLE,2022/7/27 13:47
PEH_POLICE_PROPAGANDA_ELEMENT,TABLE,2022/7/27 13:47
PEH_POLICE_PROPAGANDA_PLAN,TABLE,2022/7/27 13:47
PEH_POLICE_VMS_CONFIG,TABLE,2022/7/27 13:49
PEH_POLICE_VMS_INFO,TABLE,2022/7/27 13:49
PEH_POLICE_VMS_PLAN,TABLE,2022/7/27 13:47
POLICE,TABLE,2022/7/27 13:49
POLICE_CASE,TABLE,2022/7/27 13:44
POLICE_CASE_GEOMETRY,TABLE,2022/7/27 13:44
POLICE_CASE_VMS,TABLE,2022/7/27 13:48
POSITION_COLOR,TABLE,2022/7/27 13:44
PSD_ACCIDENT_CARS,TABLE,2022/7/27 13:47
PSD_ACCIDENT_INFO,TABLE,2022/7/27 13:47
PSD_AUTORIZATION_CONFIG,TABLE,2022/7/27 13:47
PSD_AUTORIZATION_CONFIG_DETAIL,TABLE,2022/7/27 13:47
PSD_DUTY,TABLE,2022/7/27 13:47
PSD_EXPRESSWAY_VMS_PLAN,TABLE,2022/7/27 13:49
PSD_FOG_MODELS,TABLE,2022/7/27 13:49
PSD_FOG_MODELS_BACKUP,TABLE,2022/7/27 13:49
PSD_FOG_PLAN,TABLE,2022/7/27 13:49
PSD_ORDER,TABLE,2022/7/27 13:49
PSD_ORDER_ATTACHMENT,TABLE,2022/7/27 13:47
PSD_ORDER_RECEIVER,TABLE,2022/7/27 13:47
PSD_POLICECASE_LOG,TABLE,2022/7/27 13:47
PSD_POST_RESOURCE,TABLE,2022/7/27 13:47
PSD_PRESET,TABLE,2022/7/27 13:47
PSD_PRESET_DETAIL,TABLE,2022/7/27 13:49
PSD_PROCESS,TABLE,2022/7/27 13:49
PSD_PROPAGANDA_ELEMENT,TABLE,2022/7/27 13:49
PSD_PROPAGANDA_PLAN,TABLE,2022/7/27 13:49
PSD_SCENE,TABLE,2022/7/27 13:49
PSD_SHIFT,TABLE,2022/7/27 13:47
PSD_SYS_PARAMS,TABLE,2022/7/27 13:47
PSD_TEMPLATE,TABLE,2022/7/27 13:47
REGULAR_CAR,TABLE,2022/7/27 13:48
ROAD,TABLE,2022/7/27 13:44
ROADNET_MONITOR_POINT,TABLE,2022/7/27 13:44
ROADNET_POINT_RELATION,TABLE,2022/7/27 13:44
ROAD_ACCIDENT,TABLE,2022/7/27 13:49
ROAD_JAM,TABLE,2022/7/27 13:49
ROAD_ROUND,TABLE,2022/7/27 13:49
ROAD_TRAFFIC,TABLE,2022/7/27 13:50
ROLE,TABLE,2022/7/27 13:46
ROLE_OPERATION_RELATION,TABLE,2022/7/27 13:44
ROLE_RESOURCE_RELATION,TABLE,2022/7/27 13:44
ROUTE_ARC,TABLE,2022/7/27 13:44
ROUTE_FORBIDDENTURN,TABLE,2022/7/27 13:44
ROUTE_INTERSECTION,TABLE,2022/7/27 13:44
ROUTE_JOINPOINT,TABLE,2022/7/27 13:44
ROUTE_LANE,TABLE,2022/7/27 13:44
ROUTE_LANE_RELATIONS,TABLE,2022/7/27 13:44
ROUTE_NODE,TABLE,2022/7/27 13:44
ROUTE_NODE_RELATIONS,TABLE,2022/7/27 13:44
ROUTE_ROAD,TABLE,2022/7/27 13:44
ROUTE_ROADLINE,TABLE,2022/7/27 13:44
ROUTE_ROADLINK,TABLE,2022/7/27 13:44
ROUTE_SECTION,TABLE,2022/7/27 13:46
ROUTE_UTC_SECTION,TABLE,2022/7/27 13:44
ROUTE_VIO_INTS,TABLE,2022/7/27 13:44
SCREEN_MODES,TABLE,2022/7/27 13:44
SEARCHTRACKING,TABLE,2022/7/27 13:44
SECTION_COMPUTER_30MIN,TABLE,2022/7/27 13:44
SECTION_COMPUTER_DAY,TABLE,2022/7/27 13:44
SECTION_COMPUTER_HOUR,TABLE,2022/7/27 13:44
SECTION_CONGESTION,TABLE,2022/7/27 13:44
SECTION_DEVICE,TABLE,2022/7/27 13:48
SECTION_FLOW_DATA,TABLE,2022/7/27 13:44
SECTION_FLOW_DATA_SUM5,TABLE,2022/7/27 13:47
SECTION_JAM_LENGTH,TABLE,2022/7/27 13:44
SECTION_STATUS_COMPUTE,TABLE,2022/7/27 13:44
SECTION_STATUS_DATA,TABLE,2022/7/27 13:45
SECTION_STATUS_DATA_VERIFY,TABLE,2022/7/27 13:45
SECTION_STATUS_PRESENT,TABLE,2022/7/27 13:45
SECTION_USUALCONGESTIONMGR,TABLE,2022/7/27 13:45
SERVER_INFO,TABLE,2022/7/27 13:45
SMG_DRIVER,TABLE,2022/7/27 13:51
SMG_VEHINFO,TABLE,2022/7/27 13:51
SMS_ACCESS_TOKEN,TABLE,2022/7/27 13:51
SMS_CONTACT,TABLE,2022/7/27 13:45
SMS_DATA,TABLE,2022/7/27 13:45
SMS_DETAIL,TABLE,2022/7/27 13:45
SMS_MSG_ACCESS_TOKEN,TABLE,2022/7/27 13:51
SMS_MULT_DATA,TABLE,2022/7/27 13:45
SMS_SEND_RULE,TABLE,2022/7/27 13:45
STATISTIC_ROLE_RELATION,TABLE,2022/7/27 13:46
STATUS,TABLE,2022/7/27 13:45
STAT_ILLEGAL_BEHAVIOR_DEPT,TABLE,2022/7/27 13:49
STAT_ILLEGAL_BEHAVIOR_DEPT1,TABLE,2022/7/27 13:49
STAT_ILLEGAL_BEHAVIOR_OPER,TABLE,2022/7/27 13:49
SVGEDITINFO,TABLE,2022/7/27 13:51
SVMS_ALARMINFO,TABLE,2022/7/27 13:50
SVMS_DRIVERINFO,TABLE,2022/7/27 13:50
SVMS_VEHINFO,TABLE,2022/7/27 13:50
SVMS_VEHOWNER,TABLE,2022/7/27 13:50
SVMS_VEH_APPROVAL_HIS,TABLE,2022/7/27 13:50
SVMS_VEH_DRIVER,TABLE,2022/7/27 13:50
SVMS_VEH_PASSINFO,TABLE,2022/7/27 13:50
SVMS_VEH_PASS_INFO_ROUTE,TABLE,2022/7/27 13:50
SVMS_VEH_PASS_ROUTE,TABLE,2022/7/27 13:50
SVMS_VEH_ROUTE_DEVICE,TABLE,2022/7/27 13:50
SYSPARAMS,TABLE,2022/7/27 13:45
SYS_ONLINEUSERINFO,TABLE,2022/7/27 13:46
SYS_PERSONALINFO,TABLE,2022/7/27 13:46
TD_TRAVELSPEED_RESULT_NEW,TABLE,2022/7/27 13:49
TEMPLATE_ELEMENT_INFO,TABLE,2022/7/27 13:45
TEMPLATE_ELEMENT_VALUE,TABLE,2022/7/27 13:45
TGS_VMS_ELEMENT,TABLE,2022/7/27 13:48
TGS_VMS_ELEMENT_LIST,TABLE,2022/7/27 13:48
TGS_VMS_ELEMENT_RE,TABLE,2022/7/27 13:48
TGS_VMS_GROUP_LIST,TABLE,2022/7/27 13:48
TGS_VMS_LISTELEMENT_RE,TABLE,2022/7/27 13:48
TGS_VMS_SCHEDULE,TABLE,2022/7/27 13:48
TGS_VMS_SCHEDULE_HIS,TABLE,2022/7/27 13:48
TGS_VMS_SCHEDULE_PLAN,TABLE,2022/7/27 13:48
TGS_VMS_SCHEDULE_PLAN_HIS,TABLE,2022/7/27 13:48
TGS_VMS_SHOWLIST,TABLE,2022/7/27 13:48
TGS_VMS_SOLULIST_RE,TABLE,2022/7/27 13:48
TGS_VMS_SOLUTION,TABLE,2022/7/27 13:48
TJ_6IN1IMP_ILLEGAL_DATA,TABLE,2022/7/27 13:50
TJ_OWNERSTATUS_HISTORY,TABLE,2022/7/27 13:51
TJ_SVMS_NOTICEINFO,TABLE,2022/7/27 13:51
TJ_SVMS_REGULARINSPECT,TABLE,2022/7/27 13:50
TJ_SVMS_VISITFEEDBACKLIST,TABLE,2022/7/27 13:50
TJ_SVMS_VISITLIST,TABLE,2022/7/27 13:50
TOC_LIMIT_RULES,TABLE,2022/7/27 13:50
TOC_LIMIT_TYPE,TABLE,2022/7/27 13:50
TOC_LIMIT_TYPE_RELATION_CAR,TABLE,2022/7/27 13:51
TPMS_AREA,TABLE,2022/7/27 13:47
TPMS_DUTY,TABLE,2022/7/27 13:47
TPMS_DUTY_POLICE,TABLE,2022/7/27 13:47
TPMS_EVALUATION,TABLE,2022/7/27 13:47
TPMS_EXCT,TABLE,2022/7/27 13:47
TPMS_EXCT_CMD,TABLE,2022/7/27 13:47
TPMS_EXCT_OPER,TABLE,2022/7/27 13:47
TPMS_EXCT_OPER_DETAIL,TABLE,2022/7/27 13:47
TPMS_EXCT_SCENE,TABLE,2022/7/27 13:47
TPMS_EXPRESSWAY_VMS_PLAN,TABLE,2022/7/27 13:47
TPMS_FIELD,TABLE,2022/7/27 13:47
TPMS_FILE,TABLE,2022/7/27 13:47
TPMS_FOG_MODELS,TABLE,2022/7/27 13:49
TPMS_FOG_MODELS_BACKUP,TABLE,2022/7/27 13:49
TPMS_FOG_PLAN,TABLE,2022/7/27 13:47
TPMS_PLAN_INFO,TABLE,2022/7/27 13:47
